family,outcome,formula,term,coef,se,pval,nobs
binary,accepted_vote_30d_rate,accepted_vote_30d_rate ~ high_post + established_cross_tag_share + residual_queue_complexity_index_mean + established_cross_tag_share:residual_queue_complexity_index_mean + C(primary_tag):time_index + C(primary_tag) + C(month_id),established_cross_tag_share:residual_queue_complexity_index_mean,-0.06375129621013352,0.06287454235608321,0.3266861290563247,1138
continuous,any_answer_7d_rate,any_answer_7d_rate ~ exposure_post + established_cross_tag_share + residual_queue_complexity_index_mean + established_cross_tag_share:residual_queue_complexity_index_mean + C(primary_tag):time_index + C(primary_tag) + C(month_id),exposure_post,-0.006089306455631838,0.0072649365011897855,0.41508805631001394,1145
continuous,any_answer_7d_rate,any_answer_7d_rate ~ exposure_post + established_cross_tag_share + residual_queue_complexity_index_mean + established_cross_tag_share:residual_queue_complexity_index_mean + C(primary_tag):time_index + C(primary_tag) + C(month_id),established_cross_tag_share,-0.11867731750190909,0.03119255398544159,0.0017266715817863096,1145
continuous,any_answer_7d_rate,any_answer_7d_rate ~ exposure_post + established_cross_tag_share + residual_queue_complexity_index_mean + established_cross_tag_share:residual_queue_complexity_index_mean + C(primary_tag):time_index + C(primary_tag) + C(month_id),residual_queue_complexity_index_mean,-0.31854112692593894,0.11917015417461514,0.01737377456398496,1145
continuous,any_answer_7d_rate,any_answer_7d_rate ~ exposure_post + established_cross_tag_share + residual_queue_complexity_index_mean + established_cross_tag_share:residual_queue_complexity_index_mean + C(primary_tag):time_index + C(primary_tag) + C(month_id),established_cross_tag_share:residual_queue_complexity_index_mean,0.5639325676673774,0.21297599323329597,0.0182689765857997,1145
continuous,first_positive_answer_latency_mean,first_positive_answer_latency_mean ~ exposure_post + established_cross_tag_share + residual_queue_complexity_index_mean + established_cross_tag_share:residual_queue_complexity_index_mean + C(primary_tag):time_index + C(primary_tag) + C(month_id),exposure_post,41.47698077663256,10.748099981794061,0.0015452426610396647,1142
continuous,first_positive_answer_latency_mean,first_positive_answer_latency_mean ~ exposure_post + established_cross_tag_share + residual_queue_complexity_index_mean + established_cross_tag_share:residual_queue_complexity_index_mean + C(primary_tag):time_index + C(primary_tag) + C(month_id),established_cross_tag_share,232.95438765021635,79.4560239400468,0.010306198420188846,1142
continuous,first_positive_answer_latency_mean,first_positive_answer_latency_mean ~ exposure_post + established_cross_tag_share + residual_queue_complexity_index_mean + established_cross_tag_share:residual_queue_complexity_index_mean + C(primary_tag):time_index + C(primary_tag) + C(month_id),residual_queue_complexity_index_mean,734.3654308494225,349.7807343090841,0.053104966966863745,1142
continuous,first_positive_answer_latency_mean,first_positive_answer_latency_mean ~ exposure_post + established_cross_tag_share + residual_queue_complexity_index_mean + established_cross_tag_share:residual_queue_complexity_index_mean + C(primary_tag):time_index + C(primary_tag) + C(month_id),established_cross_tag_share:residual_queue_complexity_index_mean,-1185.1988510581084,521.8246969302398,0.038289838478730194,1142
continuous,accepted_vote_30d_rate,accepted_vote_30d_rate ~ exposure_post + established_cross_tag_share + residual_queue_complexity_index_mean + established_cross_tag_share:residual_queue_complexity_index_mean + C(primary_tag):time_index + C(primary_tag) + C(month_id),exposure_post,-0.0010047861167696698,0.0018925993216762022,0.603258883939706,1138
continuous,accepted_vote_30d_rate,accepted_vote_30d_rate ~ exposure_post + established_cross_tag_share + residual_queue_complexity_index_mean + established_cross_tag_share:residual_queue_complexity_index_mean + C(primary_tag):time_index + C(primary_tag) + C(month_id),established_cross_tag_share,0.022598533344276712,0.017158713254334875,0.20759505310742646,1138
continuous,accepted_vote_30d_rate,accepted_vote_30d_rate ~ exposure_post + established_cross_tag_share + residual_queue_complexity_index_mean + established_cross_tag_share:residual_queue_complexity_index_mean + C(primary_tag):time_index + C(primary_tag) + C(month_id),residual_queue_complexity_index_mean,0.1279504569713525,0.040159244657797064,0.0061362702395775515,1138
continuous,accepted_vote_30d_rate,accepted_vote_30d_rate ~ exposure_post + established_cross_tag_share + residual_queue_complexity_index_mean + established_cross_tag_share:residual_queue_complexity_index_mean + C(primary_tag):time_index + C(primary_tag) + C(month_id),established_cross_tag_share:residual_queue_complexity_index_mean,-0.0928117047962897,0.06195261190626735,0.15485263364201898,1138
