primary_tag,month_id,n_questions,time_index,high_tag,exposure_index,predicted_exposure_mean,residual_queue_complexity_index_mean,first_answer_1d_rate,first_answer_1d_denom,accepted_30d_rate,accepted_30d_denom,response_cert_gap,post_chatgpt,high_post,chatgpt_z
bash,2020-12,30,12,1,4.361618661082143,4.384597566531265,0.5166666666666667,0.26666666666666666,30.0,0.26666666666666666,30.0,0.0,0,0,-1.0265186621478888
bash,2021-01,39,13,1,4.361618661082143,4.403259709622486,0.5128205128205127,0.20512820512820512,39.0,0.23076923076923078,39.0,-0.02564102564102566,0,0,-1.0265186621478888
bash,2021-02,32,14,1,4.361618661082143,4.397434447479434,0.515625,0.3125,32.0,0.15625,32.0,0.15625,0,0,-1.0265186621478888
bash,2021-03,40,15,1,4.361618661082143,4.310674662194853,0.5125,0.325,40.0,0.225,40.0,0.1,0,0,-1.0265186621478888
bash,2021-04,33,16,1,4.361618661082143,4.351116021644808,0.5151515151515151,0.18181818181818182,33.0,0.3333333333333333,33.0,-0.1515151515151515,0,0,-1.0265186621478888
bash,2021-05,44,17,1,4.361618661082143,4.324091136773222,0.5113636363636362,0.20454545454545456,44.0,0.25,44.0,-0.04545454545454544,0,0,-1.0265186621478888
bash,2021-06,36,18,1,4.361618661082143,4.382186000125784,0.5138888888888888,0.16666666666666666,36.0,0.3055555555555556,36.0,-0.13888888888888892,0,0,-1.0265186621478888
bash,2021-07,40,19,1,4.361618661082143,4.407176347776361,0.5125,0.225,40.0,0.225,40.0,0.0,0,0,-1.0265186621478888
bash,2021-08,26,20,1,4.361618661082143,4.3427422806894755,0.5192307692307693,0.11538461538461539,26.0,0.3076923076923077,26.0,-0.19230769230769232,0,0,-1.0265186621478888
bash,2021-09,21,21,1,4.361618661082143,4.295072396225418,0.5238095238095238,0.2857142857142857,21.0,0.14285714285714285,21.0,0.14285714285714285,0,0,-1.0265186621478888
bash,2021-10,17,22,1,4.361618661082143,4.304445977652194,0.5294117647058824,0.17647058823529413,17.0,0.29411764705882354,17.0,-0.11764705882352941,0,0,-1.0265186621478888
bash,2021-11,26,23,1,4.361618661082143,4.298598718096863,0.5192307692307693,0.23076923076923078,26.0,0.3076923076923077,26.0,-0.07692307692307693,0,0,-1.0265186621478888
bash,2021-12,28,24,1,4.361618661082143,4.4067631437468995,0.5178571428571429,0.17857142857142858,28.0,0.2857142857142857,28.0,-0.10714285714285712,0,0,-1.0265186621478888
bash,2022-01,25,25,1,4.361618661082143,4.376276529495188,0.52,0.16,25.0,0.2,25.0,-0.04000000000000001,0,0,-1.0265186621478888
bash,2022-02,22,26,1,4.361618661082143,4.3874482015178735,0.5227272727272728,0.18181818181818182,22.0,0.09090909090909091,22.0,0.09090909090909091,0,0,-1.0265186621478888
bash,2022-03,22,27,1,4.361618661082143,4.414245096161121,0.5227272727272728,0.045454545454545456,22.0,0.18181818181818182,22.0,-0.13636363636363635,0,0,-1.0265186621478888
bash,2022-04,20,28,1,4.361618661082143,4.2264381482896045,0.525,0.1,20.0,0.25,20.0,-0.15,0,0,-1.0265186621478888
bash,2022-05,21,29,1,4.361618661082143,4.396724287728506,0.5238095238095237,0.14285714285714285,21.0,0.19047619047619047,21.0,-0.047619047619047616,0,0,-1.0265186621478888
bash,2022-06,24,30,1,4.361618661082143,4.3502757318526735,0.5208333333333334,0.16666666666666666,24.0,0.125,24.0,0.04166666666666666,0,0,-1.0265186621478888
bash,2022-07,31,31,1,4.361618661082143,4.272019496765639,0.5161290322580645,0.3225806451612903,31.0,0.1935483870967742,31.0,0.12903225806451613,0,0,-1.0265186621478888
bash,2022-08,28,32,1,4.361618661082143,4.301556455975828,0.5178571428571429,0.07142857142857142,28.0,0.10714285714285714,28.0,-0.03571428571428571,0,0,-1.0265186621478888
bash,2022-09,17,33,1,4.361618661082143,4.395408974752728,0.5294117647058824,0.11764705882352941,17.0,0.35294117647058826,17.0,-0.23529411764705885,0,0,-1.0265186621478888
bash,2022-10,28,34,1,4.361618661082143,4.338355863089456,0.5178571428571428,0.25,28.0,0.21428571428571427,28.0,0.035714285714285726,0,0,-1.0265186621478888
bash,2022-11,20,35,1,4.361618661082143,4.368882025867707,0.5250000000000001,0.3,20.0,0.35,20.0,-0.04999999999999999,0,0,-1.0265186621478888
bash,2022-12,27,36,1,4.361618661082143,4.383054399162987,0.5185185185185186,0.2222222222222222,27.0,0.1111111111111111,27.0,0.1111111111111111,1,1,0.9169805168197676
bash,2023-01,26,37,1,4.361618661082143,4.253331728161067,0.5192307692307693,0.2692307692307692,26.0,0.19230769230769232,26.0,0.0769230769230769,1,1,1.0695356832578977
bash,2023-02,42,38,1,4.361618661082143,4.383635442916193,0.5119047619047619,0.19047619047619047,42.0,0.23809523809523808,42.0,-0.047619047619047616,1,1,1.0907751740780631
bash,2023-03,32,39,1,4.361618661082143,4.291793410257451,0.515625,0.15625,32.0,0.21875,32.0,-0.0625,1,1,1.1046366938343386
bash,2023-04,18,40,1,4.361618661082143,4.400364561246891,0.5277777777777778,0.3888888888888889,18.0,0.16666666666666666,18.0,0.22222222222222224,1,1,1.1241669951686228
bash,2023-05,32,41,1,4.361618661082143,4.347263612780578,0.515625,0.1875,32.0,0.125,32.0,0.0625,1,1,1.1129732943112054
bash,2023-06,17,42,1,4.361618661082143,4.298944279877806,0.5294117647058822,0.17647058823529413,17.0,0.058823529411764705,17.0,0.11764705882352942,1,1,1.0867814541979803
bash,2023-07,21,43,1,4.361618661082143,4.360922936136682,0.5238095238095238,0.23809523809523808,21.0,0.14285714285714285,21.0,0.09523809523809523,1,1,0.9898725818734395
bash,2023-08,13,44,1,4.361618661082143,4.398880575997581,0.5384615384615384,0.15384615384615385,13.0,0.3076923076923077,13.0,-0.15384615384615385,1,1,0.9253188388760717
bash,2023-09,18,45,1,4.361618661082143,4.353837752930312,0.5277777777777779,0.2222222222222222,18.0,0.16666666666666666,18.0,0.05555555555555555,1,1,0.9335644841020355
bash,2023-10,19,46,1,4.361618661082143,4.297286843971949,0.5263157894736842,0.10526315789473684,19.0,0.21052631578947367,19.0,-0.10526315789473684,1,1,0.9365620085004364
bash,2023-11,13,47,1,4.361618661082143,4.377028266782388,0.5384615384615384,0.07692307692307693,13.0,0.23076923076923078,13.0,-0.15384615384615385,1,1,0.9443248097036234
bash,2023-12,9,48,1,4.361618661082143,4.372371645204679,0.5555555555555556,0.4444444444444444,9.0,0.4444444444444444,9.0,0.0,1,1,0.931478609386297
bash,2024-01,12,49,1,4.361618661082143,4.330823908918431,0.5416666666666667,0.25,12.0,0.3333333333333333,12.0,-0.08333333333333331,1,1,0.9552453601877259
bash,2024-02,20,50,1,4.361618661082143,4.331305459083089,0.5250000000000001,0.0,20.0,0.3,20.0,-0.3,1,1,0.9512597482887946
bash,2024-03,19,51,1,4.361618661082143,4.332410976224682,0.5263157894736842,0.2631578947368421,19.0,0.5263157894736842,19.0,-0.2631578947368421,1,1,0.9241037505892032
bash,2024-04,14,52,1,4.361618661082143,4.39289502010048,0.5357142857142857,0.35714285714285715,14.0,0.21428571428571427,14.0,0.14285714285714288,1,1,0.893771288491975
bash,2024-05,15,53,1,4.361618661082143,4.432217928253367,0.5333333333333333,0.13333333333333333,15.0,0.3333333333333333,15.0,-0.19999999999999998,1,1,0.9001548162587621
bash,2024-06,16,54,1,4.361618661082143,4.33136099609148,0.53125,0.1875,16.0,0.3125,16.0,-0.125,1,1,0.9105996096502342
bash,2024-07,12,55,1,4.361618661082143,4.3539671058387555,0.5416666666666666,0.3333333333333333,12.0,0.16666666666666666,12.0,0.16666666666666666,1,1,0.8185696544784788
bash,2024-08,12,56,1,4.361618661082143,4.31895433214892,0.5416666666666666,0.08333333333333333,12.0,0.25,12.0,-0.16666666666666669,1,1,0.7943736899120964
bash,2024-09,13,57,1,4.361618661082143,4.253263130462709,0.5384615384615384,0.46153846153846156,13.0,0.07692307692307693,13.0,0.38461538461538464,1,1,0.8537876941417065
bash,2024-10,10,58,1,4.361618661082143,4.128402142480816,0.55,0.3,10.0,0.2,10.0,0.09999999999999998,1,1,0.9025263082320198
bash,2024-11,14,59,1,4.361618661082143,4.353877912730105,0.5357142857142857,0.14285714285714285,14.0,0.14285714285714285,14.0,0.0,1,1,0.9175319513804596
bash,2024-12,11,60,1,4.361618661082143,4.387568350980204,0.5454545454545454,0.2727272727272727,11.0,0.18181818181818182,11.0,0.09090909090909088,1,1,0.9087605063697853
bash,2025-01,16,61,1,4.361618661082143,4.276332192025819,0.53125,0.1875,16.0,0.25,16.0,-0.0625,1,1,0.9618948738827183
bash,2025-02,7,62,1,4.361618661082143,4.322722164393864,0.5714285714285713,0.2857142857142857,7.0,0.42857142857142855,7.0,-0.14285714285714285,1,1,0.9649936190048208
bash,2025-03,8,63,1,4.361618661082143,4.415416903328202,0.5625,0.25,8.0,0.125,8.0,0.125,1,1,0.9784754355606526
bash,2025-04,2,64,1,4.361618661082143,4.229652614197667,0.75,0.0,2.0,0.5,2.0,-0.5,1,1,1.0402353442258345
bash,2025-05,10,65,1,4.361618661082143,4.170354653481453,0.55,0.1,10.0,0.1,10.0,0.0,1,1,0.9513853406830685
bash,2025-06,7,66,1,4.361618661082143,4.272163881958962,0.5714285714285713,0.14285714285714285,7.0,0.14285714285714285,7.0,0.0,1,1,1.058190044052818
bash,2025-07,3,67,1,4.361618661082143,4.230642360075511,0.6666666666666666,0.0,3.0,0.0,3.0,0.0,1,1,0.9884341600286033
bash,2025-08,3,68,1,4.361618661082143,4.426924138887465,0.6666666666666666,0.0,3.0,0.0,3.0,0.0,1,1,1.0250208709494477
bash,2025-09,6,69,1,4.361618661082143,4.270436716464521,0.5833333333333334,0.16666666666666666,6.0,0.16666666666666666,6.0,0.0,1,1,1.0338027031579542
bash,2025-10,8,70,1,4.361618661082143,4.188437432846043,0.5625,0.25,8.0,0.0,8.0,0.25,1,1,1.0313242330467107
bash,2025-11,4,71,1,4.361618661082143,4.281754436497335,0.625,0.0,4.0,0.5,4.0,-0.5,1,1,1.0094705048817594
bash,2025-12,9,72,1,4.361618661082143,4.541044124813664,0.5555555555555556,0.125,8.0,0.0,1.0,0.125,1,1,0.9872705236107
batch,2020-01,10,1,1,4.210110106018025,4.27342601657241,0.5499999999999999,0.3,10.0,0.2,10.0,0.09999999999999998,0,0,-1.0265186621478888
batch,2020-02,4,2,1,4.210110106018025,4.153938498895879,0.625,0.0,4.0,0.0,4.0,0.0,0,0,-1.0265186621478888
batch,2020-03,11,3,1,4.210110106018025,4.175994026504849,0.5454545454545454,0.09090909090909091,11.0,0.18181818181818182,11.0,-0.09090909090909091,0,0,-1.0265186621478888
batch,2020-04,14,4,1,4.210110106018025,4.2099174661239385,0.5357142857142856,0.0,14.0,0.14285714285714285,14.0,-0.14285714285714285,0,0,-1.0265186621478888
batch,2020-05,11,5,1,4.210110106018025,4.3023938120889325,0.5454545454545454,0.18181818181818182,11.0,0.2727272727272727,11.0,-0.09090909090909088,0,0,-1.0265186621478888
batch,2020-06,9,6,1,4.210110106018025,4.249995051868342,0.5555555555555556,0.1111111111111111,9.0,0.1111111111111111,9.0,0.0,0,0,-1.0265186621478888
batch,2020-07,9,7,1,4.210110106018025,4.212539935700693,0.5555555555555556,0.1111111111111111,9.0,0.2222222222222222,9.0,-0.1111111111111111,0,0,-1.0265186621478888
batch,2020-08,10,8,1,4.210110106018025,4.2155448466301895,0.55,0.4,10.0,0.1,10.0,0.30000000000000004,0,0,-1.0265186621478888
batch,2020-09,8,9,1,4.210110106018025,4.22871694078567,0.5625,0.25,8.0,0.125,8.0,0.125,0,0,-1.0265186621478888
batch,2020-10,11,10,1,4.210110106018025,4.01449945457857,0.5454545454545454,0.0,11.0,0.2727272727272727,11.0,-0.2727272727272727,0,0,-1.0265186621478888
batch,2020-11,9,11,1,4.210110106018025,4.209114186744403,0.5555555555555556,0.4444444444444444,9.0,0.2222222222222222,9.0,0.2222222222222222,0,0,-1.0265186621478888
batch,2020-12,6,12,1,4.210110106018025,4.141015278325385,0.5833333333333334,0.0,6.0,0.16666666666666666,6.0,-0.16666666666666666,0,0,-1.0265186621478888
batch,2021-01,16,13,1,4.210110106018025,4.3652762251865225,0.53125,0.125,16.0,0.0,16.0,0.125,0,0,-1.0265186621478888
batch,2021-02,7,14,1,4.210110106018025,4.34209118992953,0.5714285714285713,0.42857142857142855,7.0,0.0,7.0,0.42857142857142855,0,0,-1.0265186621478888
batch,2021-03,11,15,1,4.210110106018025,4.277549103899175,0.5454545454545454,0.36363636363636365,11.0,0.18181818181818182,11.0,0.18181818181818182,0,0,-1.0265186621478888
batch,2021-04,8,16,1,4.210110106018025,4.097125122623311,0.5625,0.375,8.0,0.375,8.0,0.0,0,0,-1.0265186621478888
batch,2021-05,11,17,1,4.210110106018025,4.100518115828398,0.5454545454545454,0.09090909090909091,11.0,0.18181818181818182,11.0,-0.09090909090909091,0,0,-1.0265186621478888
batch,2021-06,2,18,1,4.210110106018025,4.001253550698252,0.75,0.0,2.0,0.0,2.0,0.0,0,0,-1.0265186621478888
batch,2021-07,5,19,1,4.210110106018025,4.156229859590259,0.6,0.2,5.0,0.2,5.0,0.0,0,0,-1.0265186621478888
batch,2021-08,6,20,1,4.210110106018025,4.0508834569069165,0.5833333333333334,0.5,6.0,0.16666666666666666,6.0,0.33333333333333337,0,0,-1.0265186621478888
batch,2021-09,7,21,1,4.210110106018025,4.212981486630229,0.5714285714285713,0.2857142857142857,7.0,0.42857142857142855,7.0,-0.14285714285714285,0,0,-1.0265186621478888
batch,2021-10,7,22,1,4.210110106018025,4.315368853308184,0.5714285714285713,0.0,7.0,0.5714285714285714,7.0,-0.5714285714285714,0,0,-1.0265186621478888
batch,2021-11,8,23,1,4.210110106018025,4.161252098997947,0.5625,0.0,8.0,0.25,8.0,-0.25,0,0,-1.0265186621478888
batch,2021-12,8,24,1,4.210110106018025,4.071549500185278,0.5625,0.125,8.0,0.25,8.0,-0.125,0,0,-1.0265186621478888
batch,2022-01,10,25,1,4.210110106018025,3.868457730492831,0.55,0.3,10.0,0.1,10.0,0.19999999999999998,0,0,-1.0265186621478888
batch,2022-02,5,26,1,4.210110106018025,4.37729695630532,0.6,0.0,5.0,0.4,5.0,-0.4,0,0,-1.0265186621478888
batch,2022-03,4,27,1,4.210110106018025,4.176249125880831,0.625,0.0,4.0,0.25,4.0,-0.25,0,0,-1.0265186621478888
batch,2022-04,10,28,1,4.210110106018025,4.313361521330629,0.55,0.2,10.0,0.2,10.0,0.0,0,0,-1.0265186621478888
batch,2022-05,10,29,1,4.210110106018025,4.159652480348723,0.55,0.1,10.0,0.3,10.0,-0.19999999999999998,0,0,-1.0265186621478888
batch,2022-06,16,30,1,4.210110106018025,4.151947756030406,0.53125,0.125,16.0,0.0625,16.0,0.0625,0,0,-1.0265186621478888
batch,2022-07,7,31,1,4.210110106018025,4.051757548078714,0.5714285714285713,0.14285714285714285,7.0,0.14285714285714285,7.0,0.0,0,0,-1.0265186621478888
batch,2022-08,17,32,1,4.210110106018025,4.335361396105912,0.5294117647058824,0.35294117647058826,17.0,0.23529411764705882,17.0,0.11764705882352944,0,0,-1.0265186621478888
batch,2022-09,8,33,1,4.210110106018025,4.429679709253804,0.5625,0.25,8.0,0.25,8.0,0.0,0,0,-1.0265186621478888
batch,2022-10,8,34,1,4.210110106018025,4.241141357363546,0.5625,0.125,8.0,0.0,8.0,0.125,0,0,-1.0265186621478888
batch,2022-11,15,35,1,4.210110106018025,4.302418541305278,0.5333333333333333,0.06666666666666667,15.0,0.0,15.0,0.06666666666666667,0,0,-1.0265186621478888
batch,2022-12,10,36,1,4.210110106018025,4.445980965943857,0.55,0.4,10.0,0.1,10.0,0.30000000000000004,1,1,0.9169805168197676
batch,2023-01,3,37,1,4.210110106018025,4.189550682555922,0.6666666666666666,0.0,3.0,0.6666666666666666,3.0,-0.6666666666666666,1,1,1.0695356832578977
batch,2023-02,5,38,1,4.210110106018025,4.232508003398154,0.6000000000000001,0.2,5.0,0.2,5.0,0.0,1,1,1.0907751740780631
batch,2023-03,6,39,1,4.210110106018025,4.050713492632546,0.5833333333333334,0.16666666666666666,6.0,0.0,6.0,0.16666666666666666,1,1,1.1046366938343386
batch,2023-04,6,40,1,4.210110106018025,4.242947784434481,0.5833333333333334,0.16666666666666666,6.0,0.0,6.0,0.16666666666666666,1,1,1.1241669951686228
batch,2023-05,2,41,1,4.210110106018025,4.078962180817207,0.75,0.0,2.0,0.0,2.0,0.0,1,1,1.1129732943112054
batch,2023-06,6,42,1,4.210110106018025,4.218050019479621,0.5833333333333334,0.5,6.0,0.16666666666666666,6.0,0.33333333333333337,1,1,1.0867814541979803
batch,2023-07,8,43,1,4.210110106018025,4.170835239956849,0.5625,0.25,8.0,0.5,8.0,-0.25,1,1,0.9898725818734395
batch,2023-08,4,44,1,4.210110106018025,4.366298310987246,0.625,0.25,4.0,0.25,4.0,0.0,1,1,0.9253188388760717
batch,2023-09,3,45,1,4.210110106018025,3.961655608842179,0.6666666666666666,0.0,3.0,0.3333333333333333,3.0,-0.3333333333333333,1,1,0.9335644841020355
batch,2023-10,5,46,1,4.210110106018025,4.160803923275429,0.6,0.0,5.0,0.2,5.0,-0.2,1,1,0.9365620085004364
batch,2023-11,3,47,1,4.210110106018025,4.20599346481966,0.6666666666666666,0.3333333333333333,3.0,0.6666666666666666,3.0,-0.3333333333333333,1,1,0.9443248097036234
batch,2023-12,3,48,1,4.210110106018025,3.681045968714639,0.6666666666666666,0.0,3.0,0.0,3.0,0.0,1,1,0.931478609386297
batch,2024-01,5,49,1,4.210110106018025,4.313091530545125,0.6,0.0,5.0,0.2,5.0,-0.2,1,1,0.9552453601877259
batch,2024-02,6,50,1,4.210110106018025,3.9572214079117303,0.5833333333333334,0.0,6.0,0.5,6.0,-0.5,1,1,0.9512597482887946
batch,2024-03,6,51,1,4.210110106018025,3.872354926704281,0.5833333333333334,0.16666666666666666,6.0,0.5,6.0,-0.33333333333333337,1,1,0.9241037505892032
batch,2024-04,2,52,1,4.210110106018025,4.327216751837338,0.75,0.5,2.0,0.5,2.0,0.0,1,1,0.893771288491975
batch,2024-05,1,53,1,4.210110106018025,4.434887519996754,1.0,0.0,1.0,0.0,1.0,0.0,1,1,0.9001548162587621
batch,2024-06,3,54,1,4.210110106018025,4.054833705449148,0.6666666666666666,0.3333333333333333,3.0,0.0,3.0,0.3333333333333333,1,1,0.9105996096502342
batch,2024-07,1,55,1,4.210110106018025,4.539792672948193,1.0,0.0,1.0,0.0,1.0,0.0,1,1,0.8185696544784788
batch,2024-08,2,56,1,4.210110106018025,4.529272466719837,0.75,0.5,2.0,0.0,2.0,0.5,1,1,0.7943736899120964
batch,2024-09,3,57,1,4.210110106018025,4.250382674125954,0.6666666666666666,0.3333333333333333,3.0,0.3333333333333333,3.0,0.0,1,1,0.8537876941417065
batch,2024-10,4,58,1,4.210110106018025,4.205494227177967,0.625,0.25,4.0,0.25,4.0,0.0,1,1,0.9025263082320198
batch,2024-12,2,60,1,4.210110106018025,4.204933981207006,0.75,0.5,2.0,0.5,2.0,0.0,1,1,0.9087605063697853
batch,2025-01,2,61,1,4.210110106018025,3.9646557453460085,0.75,0.0,2.0,0.5,2.0,-0.5,1,1,0.9618948738827183
batch,2025-02,1,62,1,4.210110106018025,4.301186354041063,1.0,0.0,1.0,1.0,1.0,-1.0,1,1,0.9649936190048208
batch,2025-04,2,64,1,4.210110106018025,4.1650581735289425,0.75,0.5,2.0,0.0,2.0,0.5,1,1,1.0402353442258345
batch,2025-05,2,65,1,4.210110106018025,4.442514106064643,0.75,0.5,2.0,0.5,2.0,0.0,1,1,0.9513853406830685
batch,2025-06,3,66,1,4.210110106018025,4.256888934219009,0.6666666666666666,0.0,3.0,0.3333333333333333,3.0,-0.3333333333333333,1,1,1.058190044052818
batch,2025-07,2,67,1,4.210110106018025,4.231399554066131,0.75,0.0,2.0,0.0,2.0,0.0,1,1,0.9884341600286033
batch,2025-08,2,68,1,4.210110106018025,3.9207446034818263,0.75,0.5,2.0,0.0,2.0,0.5,1,1,1.0250208709494477
batch,2025-09,1,69,1,4.210110106018025,3.8302341809453395,1.0,0.0,1.0,0.0,1.0,0.0,1,1,1.0338027031579542
batch,2025-10,1,70,1,4.210110106018025,4.195283912554158,1.0,1.0,1.0,1.0,1.0,0.0,1,1,1.0313242330467107
batch,2025-11,1,71,1,4.210110106018025,3.881087934913955,1.0,0.0,1.0,0.0,1.0,0.0,1,1,1.0094705048817594
batch,2025-12,2,72,1,4.210110106018025,4.168970322857911,0.75,0.5,2.0,,0.0,,1,1,0.9872705236107
batch-file,2020-01,6,1,1,4.166117908079218,4.127387229937655,0.5833333333333334,0.0,6.0,0.16666666666666666,6.0,-0.16666666666666666,0,0,-1.0265186621478888
batch-file,2020-02,18,2,1,4.166117908079218,4.257223660701796,0.5277777777777779,0.2777777777777778,18.0,0.3333333333333333,18.0,-0.055555555555555525,0,0,-1.0265186621478888
batch-file,2020-03,3,3,1,4.166117908079218,3.933970540723571,0.6666666666666666,0.0,3.0,0.3333333333333333,3.0,-0.3333333333333333,0,0,-1.0265186621478888
batch-file,2020-04,10,4,1,4.166117908079218,4.137993638678563,0.55,0.1,10.0,0.2,10.0,-0.1,0,0,-1.0265186621478888
batch-file,2020-05,10,5,1,4.166117908079218,4.338939120551317,0.55,0.6,10.0,0.3,10.0,0.3,0,0,-1.0265186621478888
batch-file,2020-06,6,6,1,4.166117908079218,4.266298323482087,0.5833333333333334,0.3333333333333333,6.0,0.3333333333333333,6.0,0.0,0,0,-1.0265186621478888
batch-file,2020-07,9,7,1,4.166117908079218,3.9473505694885045,0.5555555555555556,0.3333333333333333,9.0,0.3333333333333333,9.0,0.0,0,0,-1.0265186621478888
batch-file,2020-08,3,8,1,4.166117908079218,4.00262540637124,0.6666666666666666,0.3333333333333333,3.0,0.3333333333333333,3.0,0.0,0,0,-1.0265186621478888
batch-file,2020-09,8,9,1,4.166117908079218,4.165516968870621,0.5625,0.375,8.0,0.25,8.0,0.125,0,0,-1.0265186621478888
batch-file,2020-10,6,10,1,4.166117908079218,4.144995944948323,0.5833333333333334,0.3333333333333333,6.0,0.16666666666666666,6.0,0.16666666666666666,0,0,-1.0265186621478888
batch-file,2020-11,4,11,1,4.166117908079218,4.092362845089402,0.625,0.25,4.0,0.25,4.0,0.0,0,0,-1.0265186621478888
batch-file,2020-12,8,12,1,4.166117908079218,4.164253592432581,0.5625,0.0,8.0,0.375,8.0,-0.375,0,0,-1.0265186621478888
batch-file,2021-01,6,13,1,4.166117908079218,4.266283500735156,0.5833333333333334,0.16666666666666666,6.0,0.0,6.0,0.16666666666666666,0,0,-1.0265186621478888
batch-file,2021-02,6,14,1,4.166117908079218,4.1446650050686555,0.5833333333333334,0.16666666666666666,6.0,0.3333333333333333,6.0,-0.16666666666666666,0,0,-1.0265186621478888
batch-file,2021-03,8,15,1,4.166117908079218,4.104088704231094,0.5625,0.25,8.0,0.125,8.0,0.125,0,0,-1.0265186621478888
batch-file,2021-04,8,16,1,4.166117908079218,4.216587339904472,0.5625,0.125,8.0,0.25,8.0,-0.125,0,0,-1.0265186621478888
batch-file,2021-05,9,17,1,4.166117908079218,4.069308460237834,0.5555555555555556,0.1111111111111111,9.0,0.1111111111111111,9.0,0.0,0,0,-1.0265186621478888
batch-file,2021-06,3,18,1,4.166117908079218,4.041372285722873,0.6666666666666666,0.3333333333333333,3.0,0.3333333333333333,3.0,0.0,0,0,-1.0265186621478888
batch-file,2021-07,6,19,1,4.166117908079218,4.1908456830855165,0.5833333333333334,0.3333333333333333,6.0,0.0,6.0,0.3333333333333333,0,0,-1.0265186621478888
batch-file,2021-08,3,20,1,4.166117908079218,4.133138729584785,0.6666666666666666,1.0,3.0,0.0,3.0,1.0,0,0,-1.0265186621478888
batch-file,2021-09,7,21,1,4.166117908079218,4.068144932221427,0.5714285714285713,0.14285714285714285,7.0,0.14285714285714285,7.0,0.0,0,0,-1.0265186621478888
batch-file,2021-10,3,22,1,4.166117908079218,4.2869066433209655,0.6666666666666666,0.0,3.0,0.3333333333333333,3.0,-0.3333333333333333,0,0,-1.0265186621478888
batch-file,2021-11,3,23,1,4.166117908079218,4.407411436860914,0.6666666666666666,0.0,3.0,0.3333333333333333,3.0,-0.3333333333333333,0,0,-1.0265186621478888
batch-file,2021-12,8,24,1,4.166117908079218,4.069153601805656,0.5625,0.0,8.0,0.0,8.0,0.0,0,0,-1.0265186621478888
batch-file,2022-01,6,25,1,4.166117908079218,4.093708629762578,0.5833333333333334,0.16666666666666666,6.0,0.16666666666666666,6.0,0.0,0,0,-1.0265186621478888
batch-file,2022-02,6,26,1,4.166117908079218,4.140948228450482,0.5833333333333334,0.3333333333333333,6.0,0.3333333333333333,6.0,0.0,0,0,-1.0265186621478888
batch-file,2022-03,5,27,1,4.166117908079218,4.163185979964219,0.6,0.0,5.0,0.0,5.0,0.0,0,0,-1.0265186621478888
batch-file,2022-04,6,28,1,4.166117908079218,4.089821722078907,0.5833333333333334,0.0,6.0,0.16666666666666666,6.0,-0.16666666666666666,0,0,-1.0265186621478888
batch-file,2022-05,7,29,1,4.166117908079218,4.314282632233551,0.5714285714285713,0.0,7.0,0.2857142857142857,7.0,-0.2857142857142857,0,0,-1.0265186621478888
batch-file,2022-06,8,30,1,4.166117908079218,4.231693291269689,0.5625,0.0,8.0,0.25,8.0,-0.25,0,0,-1.0265186621478888
batch-file,2022-07,1,31,1,4.166117908079218,4.4372536849827515,1.0,0.0,1.0,0.0,1.0,0.0,0,0,-1.0265186621478888
batch-file,2022-08,7,32,1,4.166117908079218,4.076411759730057,0.5714285714285713,0.14285714285714285,7.0,0.0,7.0,0.14285714285714285,0,0,-1.0265186621478888
